Name,Current Players,Peak Players,Hours Played,Link
Conan Exiles,10273,13845,6123894,https://steamcharts.com/app/440900
Geometry Dash,10071,13655,5845806,https://steamcharts.com/app/322170
Squad,9999,13992,6185225,https://steamcharts.com/app/393380
Oxygen Not Included,9955,15230,4920768,https://steamcharts.com/app/457140
Cyberpunk 2077,9908,18766,7239986,https://steamcharts.com/app/1091500
MONSTER HUNTER RISE,9815,31601,10907747,https://steamcharts.com/app/1446780
Assetto Corsa,9718,13120,4787883,https://steamcharts.com/app/244210
Deep Rock Galactic,9422,23406,7973858,https://steamcharts.com/app/548430
Paladins,9384,12270,5034232,https://steamcharts.com/app/444090
The Forest,9180,66829,10311158,https://steamcharts.com/app/242760
BeamNG.drive,9075,10760,4728072,https://steamcharts.com/app/284160
Monster Hunter: World,8896,33243,11232136,https://steamcharts.com/app/582010
Divinity: Original Sin 2,8782,12421,4606552,https://steamcharts.com/app/435150
People Playground,8721,13774,5130464,https://steamcharts.com/app/1118200
Sniper Elite 5,8641,14794,1911857,https://steamcharts.com/app/1029690
Fall Guys: Ultimate Knockout,8303,11426,4755633,https://steamcharts.com/app/1097150
STAR WARS™: The Old Republic™,8279,9781,3990656,https://steamcharts.com/app/1286830
