Name,Current Players,Peak Players,Hours Played,Link
Lost Ark,804463,819349,380869233,https://steamcharts.com/app/1599340
Counter-Strike: Global Offensive,679975,923996,419170580,https://steamcharts.com/app/730
Dota 2,554643,695841,333416274,https://steamcharts.com/app/570
PUBG: BATTLEGROUNDS,144484,468207,145881500,https://steamcharts.com/app/578080
Apex Legends,129044,411183,145944010,https://steamcharts.com/app/1172470
Rust,123211,165120,56941992,https://steamcharts.com/app/252490
Grand Theft Auto V,92752,138240,58476343,https://steamcharts.com/app/271590
Team Fortress 2,83876,91626,51784911,https://steamcharts.com/app/440
FIFA 22,81493,108168,37383206,https://steamcharts.com/app/1506830
V Rising,81275,150645,42105408,https://steamcharts.com/app/1604030
Football Manager 2022,69238,75391,35324393,https://steamcharts.com/app/1569040
ELDEN RING,67299,157978,58711974,https://steamcharts.com/app/1245620
Destiny 2,54703,178829,55000824,https://steamcharts.com/app/1085660
War Thunder,53347,63514,30063082,https://steamcharts.com/app/236390
ARK: Survival Evolved,53003,70830,32767498,https://steamcharts.com/app/346110
MIR4,51028,59697,39642959,https://steamcharts.com/app/1623660
Path of Exile,48993,131010,29937422,https://steamcharts.com/app/238960
Wallpaper Engine,43989,90773,41659717,https://steamcharts.com/app/431960
Dead by Daylight,43360,50818,24377399,https://steamcharts.com/app/381210
DayZ,39494,47857,20746530,https://steamcharts.com/app/221100
Tom Clancy's Rainbow Six Siege,39047,70445,27137578,https://steamcharts.com/app/359550
Sid Meier's Civilization VI,38521,59730,27853622,https://steamcharts.com/app/289070
Hearts of Iron IV,37922,51155,21965191,https://steamcharts.com/app/394360
Garry's Mod,36950,40953,17802113,https://steamcharts.com/app/4000
Rocket League,36817,44140,18224014,https://steamcharts.com/app/252950
Stardew Valley,35471,44091,21601728,https://steamcharts.com/app/413150
PAYDAY 2,34806,54236,22502980,https://steamcharts.com/app/218620
Terraria,33568,45021,21490508,https://steamcharts.com/app/105600
Warframe,33068,79858,32082763,https://steamcharts.com/app/230410
Euro Truck Simulator 2,31769,39922,14471564,https://steamcharts.com/app/227300
Unturned,31732,51601,24079002,https://steamcharts.com/app/304930
Farming Simulator 22,29663,33893,11894132,https://steamcharts.com/app/1248130
FINAL FANTASY XIV Online,29636,39454,18899030,https://steamcharts.com/app/39210
Spacewar,27483,32850,12743050,https://steamcharts.com/app/480
Sea of Thieves,26579,28040,8996417,https://steamcharts.com/app/1172620
The Elder Scrolls V: Skyrim Special Edition,25927,31229,13426419,https://steamcharts.com/app/489830
World of Tanks Blitz,24244,32614,11927177,https://steamcharts.com/app/444200
7 Days to Die,23674,34637,16457738,https://steamcharts.com/app/251570
Stellaris,23500,51971,19596033,https://steamcharts.com/app/281990
The Elder Scrolls Online,23448,23448,10161960,https://steamcharts.com/app/306130
Crusader Kings III,22582,26746,10210854,https://steamcharts.com/app/1158310
Valheim,22035,34436,13460603,https://steamcharts.com/app/892970
New World,21614,25467,11952687,https://steamcharts.com/app/1063730
Yu-Gi-Oh!  Master Duel,21584,102062,25828155,https://steamcharts.com/app/1449850
Europa Universalis IV,21559,26473,12044943,https://steamcharts.com/app/236850
RimWorld,21090,25979,13611031,https://steamcharts.com/app/294100
Arma 3,20260,25933,9328614,https://steamcharts.com/app/107410
VRChat,19861,36199,16168789,https://steamcharts.com/app/438100
Sid Meier's Civilization V,19836,23457,11899160,https://steamcharts.com/app/8930
No Man's Sky,19596,28487,10704465,https://steamcharts.com/app/275850
Stumble Guys,19426,30047,8489692,https://steamcharts.com/app/1677740
Dread Hunger,18956,90282,24834764,https://steamcharts.com/app/1418630
tModLoader,18838,24987,12556527,https://steamcharts.com/app/1281930
Hunt: Showdown,18670,22951,9350016,https://steamcharts.com/app/594650
Phasmophobia,18123,21475,8721481,https://steamcharts.com/app/739630
Age of Empires II: Definitive Edition,17498,25425,10882733,https://steamcharts.com/app/813780
Don't Starve Together,17401,42280,13213866,https://steamcharts.com/app/322330
Brawlhalla,17382,23230,9543629,https://steamcharts.com/app/291550
Cities: Skylines,17165,27131,11879304,https://steamcharts.com/app/255710
Project Zomboid,17154,20784,10546611,https://steamcharts.com/app/108600
NBA 2K22,17021,46628,19867179,https://steamcharts.com/app/1644960
The Sims™ 4,16698,23205,10401615,https://steamcharts.com/app/1222670
Fallout 4,16650,20626,10001843,https://steamcharts.com/app/377160
"NARAKA: BLADEPOINT",16190,129636,35495436,https://steamcharts.com/app/1203220
Bloons TD 6,15986,25672,10787084,https://steamcharts.com/app/960090
The Binding of Isaac: Rebirth,15716,18205,9261950,https://steamcharts.com/app/250900
Black Desert,15482,18948,10394279,https://steamcharts.com/app/582660
Vampire Survivors,15355,48081,15086730,https://steamcharts.com/app/1794680
Factorio,15205,18767,8666939,https://steamcharts.com/app/427520
Cookie Clicker,14724,14724,6371329,https://steamcharts.com/app/1454400
SMITE,14630,21978,9022327,https://steamcharts.com/app/386360
The Witcher 3: Wild Hunt,14607,26954,9504943,https://steamcharts.com/app/292030
Soundpad,14598,15833,7949907,https://steamcharts.com/app/629520
Red Dead Redemption 2,14243,31301,13118973,https://steamcharts.com/app/1174180
Total War: WARHAMMER II,13947,16877,6458427,https://steamcharts.com/app/594570
Risk of Rain 2,13809,18109,6663607,https://steamcharts.com/app/632360
Mount & Blade II: Bannerlord,13711,20606,8975669,https://steamcharts.com/app/261550
Counter-Strike,13055,14189,6386888,https://steamcharts.com/app/10
Left 4 Dead 2,12757,24108,10897337,https://steamcharts.com/app/550
Football Manager 2021,12693,15490,7219074,https://steamcharts.com/app/1263850
F1 2021,12227,16001,5126300,https://steamcharts.com/app/1134570
Satisfactory,12176,16697,6974696,https://steamcharts.com/app/526870
SCUM,11349,19211,7776475,https://steamcharts.com/app/513710
